tollID,company,name,latitude,longitude
KO06,KO,??????? ??????? ????? ??????? ???????? (???? ???????????),38.80869,22.60270
KO07,KO,??????? ??????? ????????????? ???????? (???? ?????),38.91517,22.34873
KO08,KO,??????? ??????? ????????????? ???????? (???? ???????),38.91495,22.34906
KO09,KO,??????? ??????? ????????????? ???????? (???? ?????),38.90419,22.52794
KO10,KO,??????? ??????? ????????????? ???????? (???? ???????????),38.90403,22.52754
KO11,KO,??????? ??????? ??????? ???????? (??? ?????),39.21048,22.06925
KO12,KO,??????? ??????? ??????? ???????? (???? ?????),39.21025,22.06905
KO13,KO,??????? ??????? ????????? ???????? (??? ?????),39.47480,21.90310
KO14,KO,??????? ??????? ????????? ???????? (???? ?????),39.47460,21.90324
KO15,KO,??????? ??????? ?????????? ???????? (??? ?????????),39.70028,21.60858
KO16,KO,??????? ??????? ?????????? ???????? (???? ?????????),39.69975,21.61080
KO17,KO,??????? ??????? ???????? ???????? (??? ???????),39.56901,21.81829
KO18,KO,??????? ??????? ???????? ???????? (???? ???????),39.56879,21.81811
KO19,KO,??????? ??????? ????? ??????? ???????? (??? ???/????),38.90377,22.57063
KO20,KO,??????? ??????? ????? ??????? ???????? (???? ???/????),38.90305,22.56907
KO21,KO,??????? ??????? ?????????? ???????? (??? ???????????),38.79929,22.50926
KO22,KO,??????? ??????? ?????????? ???????? (???? ???????????),38.79959,22.51118
KO23,KO,??????? ??????? ????? ???????? (??? ?????),38.80267,22.64938
KO24,KO,??????? ??????? ????? ???????? (???? ?????),38.80290,22.64952
KO25,KO,??????? ??????? ???????? ???????? (??? ???????????),38.91363,22.65900
KO26,KO,??????? ??????? ???????? ???????? (???? ???????????),38.91357,22.65774
MO01,MO,??????? ??????? ?????????? ???????? (???? ????????),37.34516,22.11037
MO02,MO,??????? ??????? ?????????? ???????? (???? ???????),37.34483,22.11030
MO03,MO,??????? ??????? ??????? ?????? ???????? (???? ????????),37.41249,22.30764
MO04,MO,??????? ??????? ??????? ?????? ???????? (???? ???????),37.41220,22.30776
MO05,MO,??????? ??????? ???????? ???????? (???? ????????),37.60085,22.44646
MO06,MO,??????? ??????? ???????? ???????? (???? ???????),37.60057,22.44655
MO07,MO,??????? ??????? ???????? ???????? (???? ???????-????????),37.29864,22.21032
MO08,MO,??????? ??????? ???????? ???????? (???? ??????),37.29884,22.21009
MO09,MO,??????? ??????? ???????????? ???????? (???? ????????),37.83599,22.80797
MO10,MO,??????? ??????? ???????????? ???????? (???? ???????),37.83565,22.80808
MO11,MO,??????? ??????? ????????? ???????? (???? ????????),37.13694,22.03779
MO12,MO,??????? ??????? ????????? ???????? (???? ???????),37.13675,22.03810
MO13,MO,??????? ??????? ??????? ???????? (??? ???????),37.15246,22.02610
MO14,MO,??????? ??????? ??????? ???????? (???? ???????),37.15349,22.02565
MO15,MO,??????? ??????? ??????? ???????? (??? ????????),37.07192,22.04808
MO16,MO,??????? ??????? ??????? ???????? (???? ????????),37.07162,22.04731
MO17,MO,??????? ??????? ??????????? ???????? (??? ????????),37.33067,22.07845
MO18,MO,??????? ??????? ??????????? ???????? (???? ????????),37.33179,22.07778
NAO01,NAO,??????? ??????? ????? ?????????? ???????? (???? ?????),38.00812,23.83668
NAO02,NAO,??????? ??????? ????? ?????????? ???????? (???? ???????),38.00910,23.84211
NAO03,NAO,??????? ??????? ?????????? ???????? (???? ???????),37.99958,23.82120
NAO04,NAO,??????? ??????? ???????? ???????? (???? ????????),38.01688,23.86606
NAO05,NAO,??????? ??????? ???????????? ??????? ???????? (???? ??????????),38.07565,23.67635
NAO06,NAO,??????? ??????? ???????????? ??????? ???????? (???? ????????),38.08009,23.67856
NAO07,NAO,??????? ??????? ??????????? ???????? (???? ??????????),38.08919,23.62220
NAO08,NAO,??????? ??????? ??????????? ???????? (???? ????????),38.09040,23.61994
NAO09,NAO,??????? ??????? ????. ????????? ?????????? ???????? (???? ??????????),38.02401,23.83473
NAO10,NAO,??????? ??????? ????. ????????? ?????????? ???????? (???? ????????),38.02517,23.83393
NAO11,NAO,??????? ??????? ????. ????????? ?????????? ???????? (???? ?????),38.01935,23.83767
NAO12,NAO,??????? ??????? ????. ???????? ???????? (???? ??????????),38.02703,23.82915
NAO13,NAO,??????? ??????? ????. ???????? ???????? (???? ????????),38.03427,23.82164
NAO14,NAO,??????? ??????? ?????? ????? ???????? (???? ?????),37.99753,23.84944
NAO15,NAO,??????? ??????? ?????? ????? ???????? (???? ???????),37.99710,23.85116
NAO16,NAO,??????? ??????? ????. ??????????? ???????? (???? ??????????),38.06607,23.73427
NAO17,NAO,??????? ??????? ????. ??????????? ???????? (???? ????????),38.06741,23.73161
NAO18,NAO,??????? ??????? ????. ????????? ???????? (???? ??????????),38.05641,23.77234
NAO19,NAO,??????? ??????? ????. ????????? ???????? (???? ????????),38.05859,23.76884
NAO20,NAO,??????? ??????? ????. ????? ???????? (???? ??????????),38.04838,23.78561
NAO21,NAO,??????? ??????? ????. ????? ???????? (???? ????????),38.05237,23.78147
NAO22,NAO,??????? ??????? ????. ????? ???????? (???? ??????????),38.07018,23.71147
NAO23,NAO,??????? ??????? ????. ????? ???????? (???? ????????),38.07138,23.70832
NAO24,NAO,??????? ??????? ???????? ???????? (???? ????????),37.93851,23.88683
NAO25,NAO,??????? ??????? ????. ???????? ???????? (???? ??????????),38.04123,23.80530
NAO26,NAO,??????? ??????? ????. ???????? ???????? (???? ????????),38.04366,23.79931
NAO27,NAO,??????? ??????? ??????-?????? ???????? (??? ????? ???? ??????????),38.06086,23.75050
NAO28,NAO,??????? ??????? ??????-?????? ???????? (??? ????? ???? ????????),38.06285,23.74866
NAO29,NAO,??????? ??????? ??????-?????? ???????? (??? ????? ???? ??????????),38.06120,23.75044
NAO30,NAO,??????? ??????? ??????-?????? ???????? (??? ????? ???? ????????),38.06315,23.74873
NAO31,NAO,??????? ??????? ???????? ???????? (???? ??????????),37.95341,23.88573
NAO32,NAO,??????? ??????? ???????? ???????? (???? ????????),37.95731,23.88672
NAO33,NAO,??????? ??????? ????. ????????? ???????? (???? ??????????),38.00431,23.86971
NAO34,NAO,??????? ??????? ????. ????????? ???????? (???? ????????),38.00805,23.86918
NAO35,NAO,??????? ??????? ???????? ???????? (???? ?????),37.99397,23.88736
NAO36,NAO,??????? ??????? ???????? ???????? (???? ???????),37.97720,23.80010
NAO37,NAO,??????? ??????? ??????? ???????? (???? ?????),37.98565,23.80999
NAO38,NAO,??????? ??????? ??????? ???????? (???? ???????),37.98559,23.81250
NAO39,NAO,??????? ??????? ????????? ???????? (???? ??????????),38.09389,23.59099
NAO40,NAO,??????? ??????? ??????? ???????? (???? ??????????),37.98003,23.86990
NAO41,NAO,??????? ??????? ??????? ???????? (???? ????????),37.98229,23.87047
NO01,NO,??????? ??????? ????????????? ???????? (???? ????????),38.54935,21.27241
NO02,NO,??????? ??????? ????????????? ???????? (???? ???),38.54947,21.27210
NO03,NO,??????? ??????? ???????? ???????? (???? ????????),38.35929,21.65685
NO04,NO,??????? ??????? ???????? ???????? (???? ???),38.35921,21.65640
NO05,NO,??????? ??????? ???????? ???????? (???? ????????),38.98982,21.17102
NO06,NO,??????? ??????? ???????? ???????? (???? ???),38.98999,21.17073
NO07,NO,??????? ??????? ??????? ???????? (???? ?????),38.17650,23.85388
NO08,NO,??????? ??????? ??????? ???????? (???? ???????????),38.17634,23.85444
NO09,NO,??????? ??????? ????? ???????? (???? ?????),38.37082,23.28677
NO10,NO,??????? ??????? ????? ???????? (???? ???????????),38.37090,23.28704
NO11,NO,??????? ??????? ??????? ???????? (???? ????????),39.42539,20.90533
NO12,NO,??????? ??????? ??????? ???????? (???? ???),39.42559,20.90509
NO13,NO,??????? ??????? ???????? ???????? (???? ?????),38.61750,23.14335
NO14,NO,??????? ??????? ???????? ???????? (???? ???????????),38.61772,23.14384
NO15,NO,??????? ??????? ??????????? ???????? (??? ????????),38.37341,21.62484
NO16,NO,??????? ??????? ??????????? ???????? (???? ????????),38.37419,21.62510
NO17,NO,??????? ??????? ??????????? ???????? (??? ????????),38.37953,21.49530
NO18,NO,??????? ??????? ??????????? ???????? (???? ????????),38.37935,21.49496
NO19,NO,??????? ??????? ??????? ???????? (??? ????????),38.69941,21.21408
NO20,NO,??????? ??????? ??????? ???????? (???? ????????),38.70032,21.21573
NO21,NO,??????? ??????? ????? ???????? (??? ????????),39.16037,21.01087
NO22,NO,??????? ??????? ????? ???????? (???? ????????),39.16064,21.01217
NO23,NO,??????? ??????? ???????????? ???????? (??? ???????????),38.20262,23.85396
NO24,NO,??????? ??????? ???????????? ???????? (???? ???????????),38.20275,23.85477
NO25,NO,??????? ??????? ????????? ???????? (??? ???????????),38.23753,23.78053
NO26,NO,??????? ??????? ????????? ???????? (???? ???????????),38.23633,23.78600
NO27,NO,??????? ??????? ????? ???????? (??? ???????????),38.36621,23.32467
NO28,NO,??????? ??????? ????? ???????? (???? ???????????),38.36403,23.32208
NO29,NO,??????? ??????? ????????? ???????? (??? ???????????),38.28925,23.67591
NO30,NO,??????? ??????? ????????? ???????? (???? ???????????),38.29219,23.67477
NO31,NO,??????? ??????? ?????????? ???????? (??? ???),39.33170,20.91559
NO32,NO,??????? ??????? ?????????? ???????? (???? ???),39.33199,20.91415
NO33,NO,??????? ??????? ???????? ???????? (??? ???????????),38.62199,23.12357
NO34,NO,??????? ??????? ???????? ???????? (???? ???????????),38.62253,23.12381
OO01,OO,??????? ??????? ????????? ???????? (???? ?????),38.04199,23.49613
OO02,OO,??????? ??????? ????????? ???????? (???? ?????),38.04250,23.49545
OO03,OO,??????? ??????? ???? ???????? (???? ?????),38.31624,21.83038
OO04,OO,??????? ??????? ???? ???????? (???? ?????),38.31663,21.82995
OO05,OO,??????? ??????? ??????? ???????? (???? ?????),38.19048,22.16526
OO06,OO,??????? ??????? ??????? ???????? (???? ?????),38.19092,22.16560
OO07,OO,??????? ??????? ??????? ???????? (???? ?????),37.92481,23.03208
OO08,OO,??????? ??????? ??????? ???????? (???? ?????),37.92535,23.03274
OO09,OO,??????? ??????? ?????? ???????? (???? ?????),37.99692,22.73517
OO10,OO,??????? ??????? ?????? ???????? (???? ?????),37.99651,22.73565
OO11,OO,??????? ??????? ???? ??????? ???????? (??? ?????),38.01988,23.42843
OO12,OO,??????? ??????? ???? ??????? ???????? (???? ?????),38.01970,23.42683
OO13,OO,??????? ??????? ????? ???????? (??? ?????),37.98501,23.34987
OO14,OO,??????? ??????? ????? ???????? (???? ?????),37.98590,23.34910
OO15,OO,??????? ??????? ???????? ???????? (??? ?????),38.32496,21.85800
OO16,OO,??????? ??????? ???????? ???????? (???? ?????),38.32513,21.85815
OO17,OO,??????? ??????? ??????? ???????? (??? ?????),38.15655,22.34285
OO18,OO,??????? ??????? ??????? ???????? (???? ?????),38.15715,22.34236
OO19,OO,??????? ??????? ?????????? ???????? (??? ?????),38.17475,22.23938
OO20,OO,??????? ??????? ?????????? ???????? (???? ?????),38.17461,22.23961
OO21,OO,??????? ??????? ????? ???????? ???????? (??? ?????),37.92207,23.11896
OO22,OO,??????? ??????? ????? ???????? ???????? (???? ?????),37.92194,23.11967
OO23,OO,??????? ??????? ????????? ???????? (??? ?????),38.13183,22.40492
OO24,OO,??????? ??????? ????????? ???????? (???? ?????),38.13193,22.40525
OO25,OO,??????? ??????? ??????????? ???????? (??? ?????),37.93143,22.78815
OO26,OO,??????? ??????? ??????????? ???????? (???? ?????),37.93128,22.78786
OO27,OO,??????? ??????? ?????? ???????? (??? ?????),38.00783,22.73326
OO28,OO,??????? ??????? ?????? ???????? (???? ?????),38.00783,22.73354
